"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 14:14:03 UTC 2023","Mon Mar 13 14:14:08 UTC 2023","4594","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","When I fill out the Partnership message form with invalid credentials","When I fill out the Partnership message form with invalid credentials",""
"passed","Mon Mar 13 14:14:39 UTC 2023","Mon Mar 13 14:14:39 UTC 2023","55","","Support Center search: Searching for results","","Support Center search: Searching for results","Then Search results showed for ""programming""","Then Search results showed for ""programming""",""
"passed","Mon Mar 13 14:12:48 UTC 2023","Mon Mar 13 14:12:48 UTC 2023","16","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Then Contact Us message not sended due to invalid credentials","Then Contact Us message not sended due to invalid credentials",""
"passed","Mon Mar 13 14:13:11 UTC 2023","Mon Mar 13 14:13:14 UTC 2023","3170","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:12:43 UTC 2023","Mon Mar 13 14:12:43 UTC 2023","18","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Then Contact Us message sended","Then Contact Us message sended",""
"passed","Mon Mar 13 14:13:33 UTC 2023","Mon Mar 13 14:13:35 UTC 2023","2099","","Login: Login with invalid credentials","","Login: Login with invalid credentials","When I login with invalid credentials","When I login with invalid credentials",""
"passed","Mon Mar 13 14:14:39 UTC 2023","Mon Mar 13 14:14:39 UTC 2023","1","","Support Center search: Searching for results","","Support Center search: Searching for results","","",""
"passed","Mon Mar 13 14:14:02 UTC 2023","Mon Mar 13 14:14:02 UTC 2023","0","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","","",""
"passed","Mon Mar 13 14:13:44 UTC 2023","Mon Mar 13 14:13:44 UTC 2023","1","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","","",""
"passed","Mon Mar 13 14:13:36 UTC 2023","Mon Mar 13 14:13:36 UTC 2023","1","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","","",""
"passed","Mon Mar 13 14:14:10 UTC 2023","Mon Mar 13 14:14:11 UTC 2023","1236","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","When I sign up with valid credentials","When I sign up with valid credentials",""
"passed","Mon Mar 13 14:13:54 UTC 2023","Mon Mar 13 14:13:56 UTC 2023","1357","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:14:12 UTC 2023","Mon Mar 13 14:14:13 UTC 2023","1048","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","When I sign up with invalid credentials","When I sign up with invalid credentials",""
"passed","Mon Mar 13 14:14:01 UTC 2023","Mon Mar 13 14:14:01 UTC 2023","0","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","","",""
"passed","Mon Mar 13 14:13:14 UTC 2023","Mon Mar 13 14:13:14 UTC 2023","55","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Then I not logged in due to invalid credentials","Then I not logged in due to invalid credentials",""
"passed","Mon Mar 13 14:13:41 UTC 2023","Mon Mar 13 14:13:41 UTC 2023","45","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Then Partnership message sended","Then Partnership message sended",""
"passed","Mon Mar 13 14:15:01 UTC 2023","Mon Mar 13 14:15:02 UTC 2023","537","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","Then Empty search results showed for ""blablabla""","Then Empty search results showed for ""blablabla""",""
"passed","Mon Mar 13 14:13:36 UTC 2023","Mon Mar 13 14:13:36 UTC 2023","245","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:12:59 UTC 2023","Mon Mar 13 14:12:59 UTC 2023","1","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","","",""
"passed","Mon Mar 13 14:13:56 UTC 2023","Mon Mar 13 14:14:01 UTC 2023","5314","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","When I fill out the Partnership message form with valid credentials","When I fill out the Partnership message form with valid credentials",""
"passed","Mon Mar 13 14:13:04 UTC 2023","Mon Mar 13 14:13:10 UTC 2023","5683","","Login: Login with valid credentials","","Login: Login with valid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:12:56 UTC 2023","Mon Mar 13 14:12:59 UTC 2023","2549","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:15:00 UTC 2023","Mon Mar 13 14:15:02 UTC 2023","1515","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","When I enter ""blablabla"" in the Support Center search field","When I enter ""blablabla"" in the Support Center search field",""
"passed","Mon Mar 13 14:13:29 UTC 2023","Mon Mar 13 14:13:29 UTC 2023","246","","Login: Login with valid credentials","","Login: Login with valid credentials","Then I logged in","Then I logged in",""
"passed","Mon Mar 13 14:14:21 UTC 2023","Mon Mar 13 14:14:24 UTC 2023","3088","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:12:44 UTC 2023","Mon Mar 13 14:12:48 UTC 2023","3263","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","When I fill out the Contact Us message form with invalid credentials","When I fill out the Contact Us message form with invalid credentials",""
"passed","Mon Mar 13 14:12:48 UTC 2023","Mon Mar 13 14:12:48 UTC 2023","0","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","","",""
"passed","Mon Mar 13 14:12:36 UTC 2023","Mon Mar 13 14:12:37 UTC 2023","726","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:14:07 UTC 2023","Mon Mar 13 14:14:07 UTC 2023","1","","Sign up: Accepting cookies","","Sign up: Accepting cookies","","",""
"passed","Mon Mar 13 14:13:42 UTC 2023","Mon Mar 13 14:13:44 UTC 2023","1757","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","When I fill out the Partnership message form with invalid credentials","When I fill out the Partnership message form with invalid credentials",""
